[250, 101, '0x112a708', '0x112a700', '0', 'insert_key_546']
[251, 102, '0x112a700', '-1', '0', 'insert_key_549']
[252, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
[253, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[254, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[255, 101, '0x112a778', '0x112a708', '0', 'count_190']
[256, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[257, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
[258, 101, '0x112a778', '0x112a708', '0', 'insert_key_517']
[259, 102, '0x112a700', '-1', '0', 'insert_key_538']
[260, 101, '0x112a788', '-1', '0', 'insert_key_517']
[261, 101, '0x112a760', '0x112a6f0', '0', 'insert_key_525']
[262, 102, '0x112a6f0', '-1', '0', 'insert_key_549']
[263, 101, '0x112a768', '0x112a6e0', '0', 'insert_key_544']
[264, 101, '0x112a778', '0x112a6e0', '0', 'insert_key_544']
[265, 101, '0x112a770', '0x112a708', '0', 'insert_key_545']
[266, 101, '0x112a778', '0x112a700', '0', 'insert_key_546']
[267, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
[268, 101, '0x112a6c0', '-1', '1', 'linear_search_765']
[269, 101, '0x112a6d4', '0x112a6d4', '1', 'linear_search_767']
['Lock_1', 105, 'M1', -1, '1', 'linear_search_772_x']
[270, 101, '0x112a6e0', '0x112a6d4', '1', 'linear_search_772']
['UnLock_1', 106, 'M1', -1, '1', 'linear_search_772_x']
[271, 102, '0x112a6e0', '-1', '1', 'linear_search_772_x']
[272, 103, '0', '-1', '1', 'linear_search_781_x']
['Lock_19', 105, 'M1', -1, '1', 'linear_search_781_x']
[273, 101, '0x112a6f8', '0x112a740', '1', 'linear_search_781']
['Fence_Lock_19', 103, 0, -1, '1', 'linear_search_781_x']
['UnLock_19', 106, 'M1', -1, '1', 'linear_search_781_x']
[274, 102, '0x112a6f8', '-1', '1', 'linear_search_781_x']
['Lock_20', 105, 'M1', -1, '1', 'linear_search_782_x']
[275, 101, '0x112a6f0', '0x112a6f8', '1', 'linear_search_782']
['Fence_Lock_20', 103, 0, -1, '1', 'linear_search_782_x']
