['Lock_2', 105, 'M1', -1, '0', 'newNode_56_x']
[287, 101, '0x15383e0', '0x1538110', '1', 'set_insert_74']
[288, 101, '0x15383e8', '0x1538110', '1', 'set_insert_78']
[289, 101, '0x1538380', '0x1538110', '1', 'set_insert_74']
[290, 101, '0x1538388', '0x1538110', '1', 'set_insert_78']
[291, 101, '0x1538320', '0x1538110', '1', 'set_insert_74']
[292, 101, '0x1538328', '0x1538110', '1', 'set_insert_78']
[293, 101, '0x7f5a04001508', '-1', '1', 'set_insert_83']
[294, 101, '0x7f5a04001500', '0x1538110', '2', 'set_insert_74']
[295, 101, '0x7f5a04001500', '0x1538110', '1', 'set_remove_96']
[296, 101, '0x7f5a04001508', '0x1538268', '1', 'set_remove_98']
[297, 101, '0x1538260', '0x1538110', '1', 'set_remove_96']
[298, 101, '0x1538268', '0x1538268', '1', 'set_remove_98']
[299, 101, '0x1538110', '0x1538110', '1', 'set_remove_96']
[300, 101, '0x1538118', '0x1538268', '1', 'set_remove_98']
[301, 101, '0x1538560', '0x1538110', '1', 'set_remove_96']
[302, 101, '0x1538568', '0x1538268', '1', 'set_remove_98']
[303, 101, '0x1538500', '0x1538110', '1', 'set_remove_96']
[304, 101, '0x1538508', '0x1538268', '1', 'set_remove_98']
[305, 101, '0x15384a0', '0x1538110', '1', 'set_remove_96']
[306, 101, '0x15384a8', '0x1538268', '1', 'set_remove_98']
[307, 101, '0x1538440', '0x1538110', '1', 'set_remove_96']
[308, 101, '0x1538448', '0x1538268', '1', 'set_remove_98']
[309, 101, '0x15383e0', '0x1538110', '1', 'set_remove_96']
[310, 101, '0x15383e8', '0x1538268', '1', 'set_remove_98']
[311, 101, '0x1538380', '0x1538110', '1', 'set_remove_96']
[312, 101, '0x1538388', '0x1538268', '1', 'set_remove_98']
[313, 101, '0x1538320', '0x1538110', '1', 'set_remove_96']
[314, 101, '0x1538328', '0x1538268', '1', 'set_remove_111']
[315, 101, '0x1538388', '-1', '1', 'set_remove_111']
[316, 101, '0x7f5a04001500', '0x1538110', '2', 'set_remove_96']
[317, 101, '0x7f5a04001508', '0x1538268', '2', 'set_remove_98']
[318, 101, '0x1538260', '0x1538110', '2', 'set_remove_96']
[319, 101, '0x1538268', '0x1538268', '2', 'set_remove_98']
[320, 101, '0x1538110', '0x1538110', '2', 'set_remove_96']
[321, 101, '0x1538118', '0x1538268', '2', 'set_remove_98']
[322, 101, '0x1538560', '0x1538110', '2', 'set_remove_96']
[323, 101, '0x1538568', '0x1538268', '2', 'set_remove_98']
[324, 101, '0x1538500', '0x1538110', '2', 'set_remove_96']
[325, 101, '0x1538508', '0x1538268', '2', 'set_remove_98']
[326, 101, '0x15384a0', '0x1538110', '2', 'set_remove_96']
[327, 101, '0x15384a8', '0x1538268', '2', 'set_remove_98']
[328, 101, '0x1538440', '0x1538110', '2', 'set_remove_96']
[329, 101, '0x1538448', '0x1538268', '2', 'set_remove_98']
[330, 101, '0x15383e0', '0x1538110', '2', 'set_remove_96']
[331, 101, '0x15383e8', '0x1538268', '2', 'set_remove_98']
[332, 101, '0x1538380', '0x1538110', '2', 'set_remove_96']
[333, 101, '0x1538388', '0x1538268', '2', 'set_remove_98']
[334, 101, '0x7f5a04001500', '0x1538110', '1', 'set_insert_74']
[335, 101, '0x7f5a04001508', '0x1538110', '1', 'set_insert_78']
[336, 101, '0x1538260', '0x1538110', '1', 'set_insert_74']
[337, 101, '0x1538268', '0x1538110', '1', 'set_insert_78']
[338, 101, '0x1538110', '0x1538110', '1', 'set_insert_74']
[339, 101, '0x1538118', '0x1538110', '1', 'set_insert_78']
[340, 101, '0x1538560', '0x1538110', '1', 'set_insert_74']
[341, 101, '0x1538568', '0x1538110', '1', 'set_insert_78']
[342, 101, '0x1538500', '0x1538110', '1', 'set_insert_74']
[343, 101, '0x1538508', '0x1538110', '1', 'set_insert_78']
[344, 101, '0x15384a0', '0x1538110', '1', 'set_insert_74']
[345, 101, '0x15384a8', '0x1538110', '1', 'set_insert_78']
[346, 101, '0x1538440', '0x1538110', '1', 'set_insert_74']
[347, 101, '0x1538448', '0x1538110', '1', 'set_insert_78']
[348, 101, '0x15383e0', '0x1538110', '1', 'set_insert_74']
[349, 101, '0x15383e8', '0x1538110', '1', 'set_insert_78']
[350, 101, '0x1538380', '0x1538110', '1', 'set_insert_74']
[351, 101, '0x1538388', '0x1538110', '1', 'set_insert_78']
[352, 101, '0x1538328', '-1', '1', 'set_insert_83']
[353, 101, '0x1538320', '0x1538110', '2', 'set_insert_74']
[354, 101, '0x1538320', '0x1538110', '1', 'set_remove_96']
[355, 101, '0x1538328', '0x1538268', '1', 'set_remove_98']
[356, 101, '0x7f5a04001500', '0x1538110', '1', 'set_remove_96']
[357, 101, '0x7f5a04001508', '0x1538268', '1', 'set_remove_98']
[358, 101, '0x1538260', '0x1538110', '1', 'set_remove_96']
[359, 101, '0x1538268', '0x1538268', '1', 'set_remove_98']
[360, 101, '0x1538110', '0x1538110', '1', 'set_remove_96']
[361, 101, '0x1538118', '0x1538268', '1', 'set_remove_98']
[362, 101, '0x1538560', '0x1538110', '1', 'set_remove_96']
[363, 101, '0x1538568', '0x1538268', '1', 'set_remove_98']
[364, 101, '0x1538500', '0x1538110', '1', 'set_remove_96']
[365, 101, '0x1538508', '0x1538268', '1', 'set_remove_98']
[366, 101, '0x15384a0', '0x1538110', '1', 'set_remove_96']
[367, 101, '0x15384a8', '0x1538268', '1', 'set_remove_98']
[368, 101, '0x1538440', '0x1538110', '1', 'set_remove_96']
[369, 101, '0x1538448', '0x1538268', '1', 'set_remove_98']
[370, 101, '0x15383e0', '0x1538110', '1', 'set_remove_96']
[371, 101, '0x15383e8', '0x1538268', '1', 'set_remove_98']
[372, 101, '0x1538380', '0x1538110', '1', 'set_remove_96']
[373, 101, '0x1538388', '0x1538268', '1', 'set_remove_111']
[374, 101, '0x15383e8', '-1', '1', 'set_remove_111']
[375, 101, '0x1538320', '0x1538110', '1', 'set_insert_74']
[376, 101, '0x1538328', '0x1538110', '1', 'set_insert_78']
[377, 101, '0x7f5a04001500', '0x1538110', '1', 'set_insert_74']
[378, 101, '0x7f5a04001508', '0x1538110', '1', 'set_insert_78']
[379, 101, '0x1538260', '0x1538110', '1', 'set_insert_74']
[380, 101, '0x1538268', '0x1538110', '1', 'set_insert_78']
[381, 101, '0x1538110', '0x1538110', '1', 'set_insert_74']
[382, 101, '0x1538118', '0x1538110', '1', 'set_insert_78']
[383, 101, '0x1538560', '0x1538110', '1', 'set_insert_74']
[384, 101, '0x1538568', '0x1538110', '1', 'set_insert_78']
[385, 101, '0x1538500', '0x1538110', '1', 'set_insert_74']
[386, 101, '0x1538508', '0x1538110', '1', 'set_insert_78']
[387, 101, '0x15384a0', '0x1538110', '1', 'set_insert_74']
[388, 101, '0x15384a8', '0x1538110', '1', 'set_insert_78']
[389, 101, '0x1538440', '0x1538110', '1', 'set_insert_74']
[390, 101, '0x1538448', '0x1538110', '1', 'set_insert_78']
[391, 101, '0x15383e0', '0x1538110', '1', 'set_insert_74']
