[195, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[196, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
[197, 101, '0xcfaae0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[198, 101, '0xcfa9e0', '0xcfa9e0', '2', 'deque_pop_back_143']
[199, 101, '0xcfa9f0', '0xcfaae0', '2', 'deque_pop_back_145']
[200, 101, '0x7f92040024f8', '0xcfa9f0', '2', 'deque_pop_back_150']
[201, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_back_143']
[202, 101, '0x7f9204002500', '0xcfaae0', '1', 'deque_pop_back_145']
[203, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[204, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[205, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[206, 101, '0xcfaae0', '0xcfa9e8', '2', 'deque_pop_front_126']
[207, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[208, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[209, 101, '0xcfaad0', '0xcfa9e0', '1', 'deque_pop_front_119']
[210, 101, '0xcfaad8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[211, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[212, 101, '0xcfa9e8', '-1', '2', 'deque_push_front_86']
[213, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[214, 101, '0xcfaae0', '-1', '1', 'deque_push_back_102']
[215, 101, '0x7f91fc0045d8', '0xcfaae0', '1', 'deque_push_back_103']
[216, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
[217, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
[218, 101, '0x7f91fc0045d8', '0xcfa9f0', '2', 'deque_pop_back_150']
[219, 101, '0x7f92040024f8', '-1', '1', 'deque_push_front_86']
[220, 101, '0xcfa9f0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[221, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[222, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[223, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[224, 103, '0', '-1', '1', 'deque_pop_front_119_x']
[225, 103, '0', '-1', '1', 'deque_pop_front_119_x']
[226, 101, '0x7f92040024f0', '0xcfa9e0', '2', 'deque_pop_front_119']
[227, 101, '0x7f92040024f8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[228, 101, '0xcfa9f0', '0xcfa9e8', '2', 'deque_pop_front_126']
[229, 101, '0x7f9204002500', '-1', '2', 'deque_push_back_102']
[230, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[231, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
[232, 101, '0xcfa9f0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[233, 101, '0x7f92040024f0', '0xcfa9e0', '2', 'deque_pop_back_143']
[234, 101, '0x7f9204002500', '0xcfaae0', '2', 'deque_pop_back_145']
[235, 101, '0xcfae38', '0xcfa9f0', '2', 'deque_pop_back_150']
['Lock_5', 105, 'M1', -1, '0', 'deque_print_195_x']
[236, 101, '0xcfaad0', '0xcfa9e0', '0', 'deque_print_195']
['UnLock_5', 106, 'M1', -1, '0', 'deque_print_195_x']
[237, 102, '0xcfaad0', '-1', '0', 'deque_print_195_x']
['Lock_10', 105, 'M1', -1, '0', 'deque_print_196_x']
[238, 101, '0xcfaad8', '0xcfaad8', '0', 'deque_print_196']
['UnLock_10', 106, 'M1', -1, '0', 'deque_print_196_x']
[239, 102, '0xcfaad8', '-1', '0', 'deque_print_196_x']
[240, 101, '0xcfa9e0', '0xcfa9e0', '0', 'deque_print_195']
[241, 101, '0xcfa9e8', '0xcfaad8', '0', 'deque_print_196']
[242, 101, '0xcfab90', '0xcfa9e0', '0', 'deque_print_195']
[243, 101, '0xcfab98', '0xcfaad8', '0', 'deque_print_196']
[244, 101, '0xcfabf0', '0xcfa9e0', '0', 'deque_print_195']
[245, 101, '0xcfabf8', '0xcfaad8', '0', 'deque_print_196']
[246, 101, '0xcfac50', '0xcfa9e0', '0', 'deque_print_195']
[247, 101, '0xcfac58', '0xcfaad8', '0', 'deque_print_196']
[248, 101, '0xcfacb0', '0xcfa9e0', '0', 'deque_print_195']
[249, 101, '0xcfacb8', '0xcfaad8', '0', 'deque_print_196']
[250, 101, '0xcfad10', '0xcfa9e0', '0', 'deque_print_195']
[251, 101, '0xcfad18', '0xcfaad8', '0', 'deque_print_196']
[252, 103, '0', '-1', '0', 'newNode_66_x']
[253, 101, '0xcfad70', '0xcfa9e0', '0', 'deque_print_195']
[254, 101, '0xcfad78', '0xcfaad8', '0', 'deque_print_196']
[255, 101, '0xcfadd0', '0xcfa9e0', '0', 'deque_print_195']
[256, 101, '0xcfadd8', '0xcfaad8', '0', 'deque_print_196']
[257, 101, '0xcfae30', '0xcfa9e0', '0', 'deque_print_195']
[258, 101, '0xcfae38', '0xcfaad8', '0', 'deque_print_196']
['Lock_14', 105, 'M1', -1, '0', 'deque_clear_173_x']
[259, 101, '0xcfaad8', '0xcfaad8', '0', 'deque_clear_173']
['UnLock_14', 106, 'M1', -1, '0', 'deque_clear_173_x']
[260, 102, '0xcfaad8', '-1', '0', 'deque_clear_173_x']
[261, 101, '0xcfa9e8', '0xcfaad8', '0', 'deque_clear_173']
[262, 103, '0', '-1', '0', 'newNode_66_x']
[263, 101, '0xcfab98', '0xcfaad8', '0', 'deque_clear_173']
[264, 101, '0xcfabf8', '0xcfaad8', '0', 'deque_clear_173']
[265, 101, '0xcfac58', '0xcfaad8', '0', 'deque_clear_173']
[266, 101, '0xcfacb8', '0xcfaad8', '0', 'deque_clear_173']
[267, 101, '0xcfad18', '0xcfaad8', '0', 'deque_clear_173']
[268, 101, '0xcfad78', '0xcfaad8', '0', 'deque_clear_173']
[269, 101, '0xcfadd8', '0xcfaad8', '0', 'deque_clear_173']
[270, 103, '0', '-1', '0', 'deque_push_back_103_x']
[271, 101, '0xcfae38', '0xcfaad8', '0', 'deque_clear_173']
