[300, 101, '0x7f18d0002d38', '0x7f18c8002740', 13, '74']
[301, 101, '0x7f18d0002d38', '-1', 13, '93']
[302, 101, '0x1413010', '0x7f18d0002138', 13, '94']
[303, 101, '0x7f18c8004d60', '-1', 13, '73']
[304, 101, '0x7f18c8004d68', '0x7f18c8002740', 13, '74']
[305, 101, '0x7f18c8004d68', '-1', 13, '84']
[306, 101, '0x1412b00', '0x7f18c8002748', 13, '85']
[307, 101, '0x7f18c8004dc0', '-1', 13, '73']
[308, 101, '0x7f18c8004dc8', '0x7f18c8002740', 13, '74']
[309, 101, '0x7f18c8004dc8', '-1', 13, '93']
[310, 101, '0x1412f80', '0x7f18d0002138', 13, '94']
[311, 101, '0x7f18d0002d90', '-1', 13, '73']
[312, 101, '0x7f18d0002d98', '0x7f18c8002740', 13, '74']
[313, 101, '0x7f18d0002d98', '-1', 13, '84']
[314, 101, '0x1413070', '0x7f18c8002748', 13, '85']
[315, 101, '0x7f18d0002df0', '-1', 13, '73']
[316, 101, '0x7f18d0002df8', '0x7f18c8002740', 13, '74']
[317, 101, '0x7f18d0002df8', '-1', 13, '93']
[318, 101, '0x1412bc0', '0x7f18d0002138', 13, '94']
[319, 101, '0x7f18d0002e50', '-1', 13, '73']
[320, 101, '0x7f18d0002e58', '0x7f18c8002740', 13, '74']
[321, 101, '0x7f18d0002e58', '-1', 13, '84']
[322, 101, '0x1412e00', '0x7f18c8002748', 13, '85']
[323, 101, '0x7f18c8004e20', '-1', 13, '73']
[324, 101, '0x7f18c8004e28', '0x7f18c8002740', 13, '74']
[325, 101, '0x7f18c8004e28', '-1', 13, '84']
[326, 101, '0x1413100', '0x7f18c8002748', 13, '85']
[327, 101, '0x7f18c8004e80', '-1', 13, '73']
[328, 101, '0x7f18c8004e88', '0x7f18c8002740', 13, '74']
[329, 101, '0x7f18c8004e88', '-1', 13, '93']
[330, 101, '0x1412c20', '0x7f18d0002138', 13, '94']
[331, 101, '0x7f18d0002eb0', '-1', 13, '73']
[332, 101, '0x7f18d0002eb8', '0x7f18c8002740', 13, '74']
[333, 101, '0x7f18d0002eb8', '-1', 13, '93']
[334, 101, '0x1412ce0', '0x7f18d0002138', 13, '94']
[335, 101, '0x7f18c8004ee0', '-1', 13, '73']
[336, 101, '0x7f18c8004ee8', '0x7f18c8002740', 13, '74']
[337, 101, '0x7f18c8004ee8', '-1', 13, '84']
[338, 101, '0x1413100', '0x7f18c8002748', 13, '85']
[339, 101, '0x7f18c8004f40', '-1', 13, '73']
[340, 101, '0x7f18c8004f48', '0x7f18c8002740', 13, '74']
[341, 101, '0x7f18c8004f48', '-1', 13, '93']
[342, 101, '0x14128c0', '0x7f18d0002138', 13, '94']
[343, 101, '0x7f18d0002f10', '-1', 13, '73']
[344, 101, '0x7f18d0002f18', '0x7f18c8002740', 13, '74']
[345, 101, '0x7f18d0002f18', '-1', 13, '84']
[346, 101, '0x1412ef0', '0x7f18c8002748', 13, '85']
[347, 101, '0x7f18d0002f70', '-1', 13, '73']
[348, 101, '0x7f18d0002f78', '0x7f18c8002740', 13, '74']
[349, 101, '0x7f18d0002f78', '-1', 13, '93']
[350, 101, '0x1412b00', '0x7f18d0002138', 13, '94']
[351, 101, '0x7f18c8004fa0', '-1', 13, '73']
[352, 101, '0x7f18c8004fa8', '0x7f18c8002740', 13, '74']
[353, 101, '0x7f18c8004fa8', '-1', 13, '84']
[354, 101, '0x1412d70', '0x7f18c8002748', 13, '85']
[355, 101, '0x7f18c8005000', '-1', 13, '73']
[356, 101, '0x7f18c8005008', '0x7f18c8002740', 13, '74']
[357, 101, '0x7f18c8005008', '-1', 13, '93']
[358, 101, '0x7f18d0002fd0', '-1', 13, '73']
[359, 101, '0x7f18d0002fd8', '0x7f18c8002740', 13, '74']
[360, 101, '0x1412c20', '0x7f18d0002138', 13, '94']
[361, 101, '0x7f18d0002fd8', '-1', 13, '84']
[362, 101, '0x1412e30', '0x7f18c8002748', 13, '85']
[363, 101, '0x7f18d0003030', '-1', 13, '73']
[364, 101, '0x7f18d0003038', '0x7f18c8002740', 13, '74']
[365, 101, '0x7f18d0003038', '-1', 13, '93']
[366, 101, '0x1412da0', '0x7f18d0002138', 13, '94']
