Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa668002ad0', -1, 0, '107']
['STORE', '0x7fa668002ad8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002d10', -1, 1, '107']
['STORE', '0x7fa670002d18', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002b30', -1, 0, '107']
['STORE', '0x7fa668002b38', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002d70', -1, 1, '107']
['STORE', '0x7fa670002d78', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002b90', -1, 0, '107']
['STORE', '0x7fa668002b98', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002dd0', -1, 1, '107']
['STORE', '0x7fa670002dd8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002bf0', -1, 0, '107']
['STORE', '0x7fa668002bf8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002e30', -1, 1, '107']
['STORE', '0x7fa670002e38', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002c50', -1, 0, '107']
['STORE', '0x7fa668002c58', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668002cb0', -1, 0, '107']
['STORE', '0x7fa668002cb8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002e90', -1, 1, '107']
['STORE', '0x7fa670002e98', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002d10', -1, 0, '107']
['STORE', '0x7fa668002d18', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002ef0', -1, 1, '107']
['STORE', '0x7fa670002ef8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002d70', -1, 0, '107']
['STORE', '0x7fa668002d78', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002f50', -1, 1, '107']
['STORE', '0x7fa670002f58', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002dd0', -1, 0, '107']
['STORE', '0x7fa668002dd8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002fb0', -1, 1, '107']
['STORE', '0x7fa670002fb8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003010', -1, 1, '107']
['STORE', '0x7fa670003018', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002e30', -1, 0, '107']
['STORE', '0x7fa668002e38', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003070', -1, 1, '107']
['STORE', '0x7fa670003078', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700030d0', -1, 1, '107']
['STORE', '0x7fa6700030d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002e90', -1, 0, '107']
['STORE', '0x7fa668002e98', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668002ef0', -1, 0, '107']
['STORE', '0x7fa668002ef8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003130', -1, 1, '107']
['STORE', '0x7fa670003138', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002f50', -1, 0, '107']
['STORE', '0x7fa668002f58', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003190', -1, 1, '107']
['STORE', '0x7fa670003198', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002fb0', -1, 0, '107']
['STORE', '0x7fa668002fb8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003010', -1, 0, '107']
['STORE', '0x7fa668003018', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700031f0', -1, 1, '107']
['STORE', '0x7fa6700031f8', '0x7fa668001ed0', 1, '108']
