Threads: [{'139844791846656': 0, '139844800239360': 1, '139844800254592': 2}]
['STORE', '0x7f3020002634', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002638', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180042d0', -1, 0, 'insert_112']
['STORE', '0x7f30180042d4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180042d8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002690', -1, 1, 'insert_112']
['STORE', '0x7f3020002694', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002698', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30200026f0', -1, 1, 'insert_112']
['STORE', '0x7f30200026f4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200026f8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004330', -1, 0, 'insert_112']
['STORE', '0x7f3018004334', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004338', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3018004390', -1, 0, 'insert_112']
['STORE', '0x7f3018004394', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004398', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002750', -1, 1, 'insert_112']
['STORE', '0x7f3020002754', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002758', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180043f0', -1, 0, 'insert_112']
['STORE', '0x7f30180043f4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180043f8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200027b0', -1, 1, 'insert_112']
['STORE', '0x7f30200027b4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200027b8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004450', -1, 0, 'insert_112']
['STORE', '0x7f3018004454', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004458', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002810', -1, 1, 'insert_112']
['STORE', '0x7f3020002814', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002818', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180044b0', -1, 0, 'insert_112']
['STORE', '0x7f30180044b4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180044b8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3018004510', -1, 0, 'insert_112']
['STORE', '0x7f3018004514', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004518', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002870', -1, 1, 'insert_112']
['STORE', '0x7f3020002874', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002878', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004570', -1, 0, 'insert_112']
['STORE', '0x7f3018004574', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004578', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200028d0', -1, 1, 'insert_112']
['STORE', '0x7f30200028d4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200028d8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180045d0', -1, 0, 'insert_112']
['STORE', '0x7f30180045d4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180045d8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002930', -1, 1, 'insert_112']
['STORE', '0x7f3020002934', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002938', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002990', -1, 1, 'insert_112']
['STORE', '0x7f3020002994', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002998', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004630', -1, 0, 'insert_112']
['STORE', '0x7f3018004634', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004638', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200029f0', -1, 1, 'insert_112']
['STORE', '0x7f30200029f4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200029f8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004690', -1, 0, 'insert_112']
['STORE', '0x7f3018004694', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004698', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002a50', -1, 1, 'insert_112']
['STORE', '0x7f3020002a54', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002a58', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002ab0', -1, 1, 'insert_112']
['STORE', '0x7f3020002ab4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002ab8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180046f0', -1, 0, 'insert_112']
['STORE', '0x7f30180046f4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180046f8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002b10', -1, 1, 'insert_112']
['STORE', '0x7f3020002b14', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002b18', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004750', -1, 0, 'insert_112']
['STORE', '0x7f3018004754', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004758', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002b70', -1, 1, 'insert_112']
['STORE', '0x7f3020002b74', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002b78', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180047b0', -1, 0, 'insert_112']
['STORE', '0x7f30180047b4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180047b8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002bd0', -1, 1, 'insert_112']
['STORE', '0x7f3020002bd4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002bd8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004810', -1, 0, 'insert_112']
['STORE', '0x7f3018004814', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004818', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002c30', -1, 1, 'insert_112']
['STORE', '0x7f3020002c34', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002c38', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004870', -1, 0, 'insert_112']
['STORE', '0x7f3018004874', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004878', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002c90', -1, 1, 'insert_112']
['STORE', '0x7f3020002c94', '0x7f30180022d0', 1, 'insert_113']
