Threads: [{'139883958915712': 0, '139883958900480': 1, '139883950507776': 2}]
['STORE', '0x7f3940005538', -1, 1, 'enqueue_104']
['STORE', '0x6f2e08', -1, 1, 'enqueue_105']
['STORE', '0x7f39400055f0', -1, 1, 'createNode_76']
['STORE', '0x7f39400055f8', -1, 1, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 1, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 1, 'enqueue_104']
['STORE', '0x7f3940005598', -1, 1, 'enqueue_104']
['STORE', '0x6f2e08', -1, 1, 'enqueue_105']
['STORE', '0x7f3938001130', -1, 2, 'createNode_76']
['STORE', '0x7f3938001138', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39400055f8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x7f3940005650', -1, 1, 'createNode_76']
['STORE', '0x7f3940005658', -1, 1, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 1, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 1, 'enqueue_104']
['STORE', '0x7f3938001138', -1, 1, 'enqueue_104']
['STORE', '0x6f2e08', -1, 1, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940003c50', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940003c58', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000d40', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f3938001190', -1, 2, 'createNode_76']
['STORE', '0x7f3938001198', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3940005658', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x7f39380011f0', -1, 2, 'createNode_76']
['STORE', '0x7f39380011f8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001198', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3938000d40', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3938000d48', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3940004db0', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f3938001250', -1, 2, 'createNode_76']
['STORE', '0x7f3938001258', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39380011f8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
