Threads: [{'140229832783936': 0, '140229730092800': 1, '140229704914688': 2, '140229755270912': 3}]
[101, "'0x7f89c4bf6c30'", "'0x7f89c4bf6bd0'", 1, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'item_link_q_444']
[101, "'0x7f89c4bf6c34'", "'0x7f89c4bf6bd4'", 1, 'do_item_link_542']
[101, "'0x7f89c4bf6c34'", '-1', 1, 'do_item_link_542']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_store_item_2950']
[101, "'0x7f89c4bf6c40'", "'0x7f89c4bf6be0'", 1, 'do_store_item_2950']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_store_item_2962']
[101, "'0x7f89c4bf6c40'", "'0x7f89c4bf6be0'", 1, 'do_store_item_2962']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'complete_nread_ascii_1168']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'complete_nread_ascii_1171']
[101, "'0x7f89c4bf6c99'", "'0x7f89c4bf6bd9'", 3, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c96'", "'0x7f89c4bf6bd6'", 3, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c90'", "'0x7f89c4bf6bd0'", 3, 'complete_nread_ascii_1172']
[101, "'0x7ffe679d1560'", '-1', 0, '_0']
[101, "'0x7ffe679d1550'", '-1', 0, '_0']
[101, "'0x7ffe679d1540'", '-1', 0, '_0']
[101, "'0x7f89c4bf6c34'", "'0x7f89c4bf6bd4'", 1, 'do_item_remove_592']
[101, "'0x7f89c4bf6c34'", '-1', 1, 'do_item_remove_592']
[101, "'0x7f89c4bf6bb8'", "'0x7f89c4bf6c18'", 2, 'lru_pull_tail_1161']
[101, "'0x7f89c4bf6bd0'", "'0x7f89c4bf6bd0'", 2, 'lru_pull_tail_1162']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'lru_pull_tail_1171']
[101, "'0x7f89c4bf6bd9'", "'0x7f89c4bf6bd9'", 2, 'lru_pull_tail_1171']
[101, "'0x7f89c4bf6bd4'", "'0x7f89c4bf6bd4'", 2, 'lru_pull_tail_1177']
[101, "'0x7f89c4bf6bd4'", '-1', 2, 'lru_pull_tail_1177']
[101, "'0x7f89c4bf6bcc'", "'0x7f89c4bf6bcc'", 2, 'lru_pull_tail_1196']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'item_is_flushed_131']
[101, "'0x7f89c4bf6be0'", "'0x7f89c4bf6be0'", 2, 'item_is_flushed_131']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'lru_pull_tail_1280']
[101, "'0x7f89c4bf6bd4'", "'0x7f89c4bf6bd4'", 2, 'do_item_remove_592']
[101, "'0x7f89c4bf6bd4'", '-1', 2, 'do_item_remove_592']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_store_item_2844']
[101, "'0x7f89c4bf6c99'", "'0x7f89c4bf6bd9'", 3, 'do_store_item_2845']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_link_515']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_link_526']
[101, "'0x7f89c4bf6c97'", '-1', 3, 'do_item_link_526']
[101, "'0x7f89c4bf6c88'", '-1', 3, 'do_item_link_527']
[101, "'0x7f89c4bf6c99'", "'0x7f89c4bf6bd9'", 3, 'do_item_link_533']
[101, "'0x7f89c4bf6c96'", "'0x7f89c4bf6bd6'", 3, 'do_item_link_533']
[101, "'0x7f89c4bf6c90'", "'0x7f89c4bf6bd0'", 3, 'do_item_link_533']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_link_533']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_link_539']
[101, "'0x7f89c4bf6ca0'", '-1', 3, 'do_item_link_539']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'item_link_q_442']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'do_item_link_q_418']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'do_item_link_q_419']
[101, "'0x7f89c4bf6c78'", '-1', 3, 'do_item_link_q_422']
[101, "'0x7f89c4bf6c70'", '-1', 3, 'do_item_link_q_423']
[101, "'0x7f89c4bf6c70'", "'0x7f89c4bf6bb0'", 3, 'do_item_link_q_424']
[101, "'0x7f89c4bf6c18'", '-1', 3, 'do_item_link_q_424']
[101, "'0x7f89c4bf6c98'", "'0x7f89c4bf6bd8'", 3, 'do_item_link_q_427']
